year,trial,geno,rep,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.plot
2,4,B211,1,10,153,NA,NA,NA,85.725,78.105,1270.27,36,44.91,3.5354688373338,18.13,6.88,2.53,2,5,3,4,3,4,3,1,NA,
2,4,B211,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B211,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B212,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B212,2,11,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
2,4,B212,3,13,106,NA,NA,NA,81.534,75.438,437.99,24,22.46,5.1279709582411,24.46,8.03,2.314,3,5,2,5,2,3,4,1,NA,
2,4,B213,1,9,75,88,98,23,48.26,82.55,840.66,12,106.14,12.6257940189851,68.47,38.11,1.572,5,4,3,4,2,5,4,2,0,
2,4,B213,2,14,77,90,93,16,52.324,87.122,1086.11,12,126.03,11.6037970371325,70.11,33.52,1.864,5,3,3,4,2,4,4,2,0,
2,4,B213,3,11,84,90,94,10,43.942,78.74,680.52,15,93.2,13.6954093928173,64.45,23.09,1.704,5,5,3,4,2,4,3,2,0,
2,4,B214,1,2,112,NA,NA,NA,42.545,103.1875,1944.64,2,531.31,27.3217664966266,177.78,63.96,1.67,5,4,5,3,4,3,4,4,NA,
2,4,B214,2,1,106,NA,NA,NA,36.576,103.632,3076.98,2,525.89,17.0911088144869,135.1,55.78,1.26,4,4,5,3,5,3,4,4,NA,
2,4,B214,3,0,NA,NA,NA,NA,20.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B215,1,12,76,NA,NA,NA,17.78,98.806,957.6,11,157.46,16.4431913116124,77.05,33.12,1.512,5,4,5,4,2,3,3,2,0,
2,4,B215,2,12,80,NA,NA,NA,57.912,88.646,833.52,9,183.45,22.0090699683271,102.76,43.37,1.57,5,5,4,5,2,2,4,3,0,
2,4,B215,3,13,78,97,97,19,54.864,91.44,865.33,13,200.49,23.1691955670091,87.99,40.05,1.322,5,4,5,5,2,2,4,3,0,
2,4,B217,1,10,98,115,117,19,36.068,112.522,899.79,0,255.08,28.3488369508441,92.74,42.16,1.142,5,4,4,2,4,4,4,4,0,
2,4,B217,2,13,99,120,122,23,33.528,104.648,1086.07,0,330.75,30.4538381503955,119.44,60.22,1.38,5,4,5,1,4,4,4,4,0,
2,4,B217,3,9,102,120,125,23,33.02,106.68,855.51,0,226.71,26.4999824665989,104.96,43.9,1.406,5,4,5,3,4,4,4,4,0,
2,4,B218,1,8,100,115,116,16,44.958,86.36,1066.43,8,205.2,19.2417692675562,90.58,42.81,1.25,4,2,4,4,3,3,3,2,0,
2,4,B218,2,4,102,118,119,17,52.07,81.788,1544.26,7,378.4,24.5036457591338,131.51,70.07,1.872,5,4,5,3,4,4,4,4,0,
2,4,B218,3,11,104,118,122,18,43.18,70.8025,781.34,17.45,241.44,30.9007602324212,139.54,63.31,1.814,5,2,5,4,3,4,3,2,0,
2,4,B219,1,13,93,117,124,31,35.052,88.646,820.18,5,200.07,24.3934258333537,88.69,35.65,1.058,5,2,4,2,3,2,3,3,0,
2,4,B219,2,7,101,119,124,23,35.052,93.726,913.63,5,236.62,25.8988868579184,98.8,38.58,1.214,5,4,5,2,4,4,4,4,0,
2,4,B219,3,12,103,120,130,27,37.592,79.756,1041.74,8,266.26,25.5591606350913,108.09,49.15,1.274,5,2,5,3,4,3,2,3,0,
2,4,B221,1,6,102,123,124,22,40.132,104.14,1781.3,0,317.42,17.8195699769831,101.34,51.91,0.858,4,2,5,2,4,4,2,2,0,
2,4,B221,2,11,113,NA,NA,NA,39.37,104.14,979,0,182.98,18.6905005107252,107.39,47.51,1.646,4,2,5,3,3,3,2,2,0,
2,4,B221,3,9,113,96,NA,NA,43.815,97.79,979.5,2,197.3,20.1429300663604,109.49,43.18,1.422,3,2,5,3,4,3,2,2,0,
2,4,B222,1,4,76,82,85,9,39.878,99.568,1691.63,13,440.88,26.0624368212907,200.66,64.51,2.104,5,4,4,3,4,4,4,3,0,
2,4,B222,2,4,78,82,87,9,32.512,76.708,725.2,6,213.68,29.4649751792609,103.06,51.2,2.074,5,3,4,4,3,3,3,3,0,
2,4,B222,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B223,1,7,99,102,113,14,52.832,84.582,1025.92,9,188.81,18.4039691203992,93.29,39.44,1.526,5,3,4,5,2,5,4,4,0,
2,4,B223,2,9,105,105,120,15,54.356,100.076,1365.85,11,236.5,17.3152249514954,100.47,52.96,1.726,5,4,4,5,3,5,4,4,0,
2,4,B223,3,6,97,104,120,23,51.816,94.234,904.91,11,141.12,15.5949210418716,82.12,32.76,1.506,5,4,4,5,2,5,4,3,0,
2,4,B225,1,12,88,114,116,28,45.212,87.63,1634.32,12,282.47,17.2836409026384,108.69,60.2,1.458,5,3,5,4,4,4,3,3,0,
2,4,B225,2,11,98,105,NA,NA,41.91,80.01,962.76,12,182.96,19.0036977024388,91.29,44.53,1.43,5,3,4,4,4,4,4,3,0,
2,4,B225,3,10,96,116,NA,NA,42.418,85.344,900.62,15,147.69,16.3987031156315,75.38,37.17,1.626,5,3,5,4,4,5,4,4,0,
2,4,B226,1,12,88,99,102,14,33.782,72.39,887.92,9,219.67,24.7398414271556,94.63,47.82,1.858,4,3,4,4,3,3,3,3,0,
2,4,B226,2,10,NA,98,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,missed sampling head? 
2,4,B226,3,14,92,98,98,6,38.354,71.12,715.52,8,211.66,29.5812835420394,92.28,42.63,1.702,5,4,5,4,3,3,4,3,0,
2,4,B227,1,13,90,110,116,26,35.052,92.202,1035.36,2,172,16.6125791995055,75.23,31.01,1.282,5,4,5,3,4,4,4,3,0,
2,4,B227,2,16,89,109,116,27,37.846,87.122,915.57,0,224.49,24.5191520036698,104.63,50.93,1.416,5,4,5,3,4,4,4,3,0,
2,4,B227,3,17,89,106,114,25,38.608,87.884,1106.32,2,224.54,20.2961168558826,100.3,47.87,1.368,5,4,5,3,4,4,4,4,0,
2,4,B261,1,15,107,101,113,6,94.9325,97.4725,1064.16,30,85.29,8.0147722147046,110.45,42.44,2.856,5,3,3,4,3,4,4,2,0,
2,4,B261,2,9,112,106,122,10,76.2,89.535,956.38,24,42.03,4.3946966686882,42.07,20.71,2.27,5,3,3,4,3,4,4,2,0,
2,4,B261,3,8,101,98,120,19,59.182,87.376,1173.08,21,55.67,4.7456268967163,41.63,11.77,2.348,5,3,3,5,3,4,4,2,0,
