<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
B196_HKT723_B8_Power_Dome_F1	27.07457	-3.4933496	-2.7253523	1.6578354	14.423576
B198_HKT723_B10_Fiesta_F1	31.784328	-6.1606674	-26.055328	-0.6376593	-17.452404
B200_HKT723_B12_Blue_Wind_F1	23.789984	-5.818602	7.6447787	-1.3171964	6.516461
B203_HKT723_C3_Calabrese_OP	-3.1126637	-7.6842976	7.684742	5.980057	-6.86626
B204_HKT723_C4_Cavolo_Broccoli_Ramoso_Calabrese_OP	20.74814	-7.740242	15.960995	1.9787314	-7.429943
B205_HKT723_C5_Cavolo_Broccoli_Ramoso_Calabrese_OP	19.20623	-9.643991	14.282797	2.1302207	-8.465281
B206_HKT723_C6_Covina_F1	29.582918	-6.8313766	-22.89505	0.20140603	-3.7315605
B210_HKT723_C10_Cavolfiore_Romanesco_Precoce_OP	-13.50715	14.313134	2.9525843	2.3072543	5.4611955
B211_HKT723_C11_Gianfranco_Fuscello_Spiagariello_Lisco_OP	-23.455814	-0.29112026	8.481462	8.148272	-11.073121
B212_HKT723_C12_Cavolo_Broccolo_Spigariello_OP	-21.84181	-1.216053	9.157077	8.616753	-8.152007
B214_HKT723_D2_Athlete_F1	29.632893	-3.6753297	-21.78526	-2.9892883	-8.998646
B215_HKT723_D3_Monflor_F1	23.054832	-5.387446	4.1746306	3.133675	13.426772
B216_HKT723_D4_Burgundy_F1	-3.3062375	22.972929	-12.925646	-0.0063135168	-2.2534916
B218_HKT721_A12_Ironman_F1	30.169416	-3.762427	-15.542329	-0.9416079	1.3484292
B219_HKT721_G5_Emerald_Jewel_F1	33.67336	-9.430026	-15.505542	1.1148876	-0.9498624
B221_HKT721_G8_Heritage_F1	31.738804	-4.089177	-22.271465	-1.7679526	-14.729765
B222_HKT723_B9_Baccus_F1	20.356516	-5.944503	13.092015	3.4605372	11.942214
B223_HKT723_C7_Sabre_F1	27.708101	-9.378222	-12.924062	1.9050696	-8.213742
B224_HKT723_C2_Saga_F1	25.12198	-5.8545694	6.3607435	-1.315566	3.048117
B225_HKT723_D6_Coronado_Crown_F1	26.766088	-2.106237	-12.85273	-0.92480063	-9.216456
B226_HKT723_E4_General_F1	25.405754	-5.687935	-1.9091493	-0.77385557	1.8640648
B227_HKT723_E5_Asteroid_F1	28.8237	-7.7271633	-6.558533	0.02546621	1.3003684
B228_HKT721_G10_BH034_F1	23.555073	-8.539516	5.9764647	-2.3489826	14.041934
B229_HKT723_F2_CA25_Nedcha_DJ7032_DH	-0.112590365	41.068825	-5.6045985	-3.076453	7.3682632
B231_HKT723_F4_P13cms_x_P19_F1	18.236374	4.8091483	11.105429	-2.120675	12.535439
B232_HKT723_A2_Jade_Cross_Brussels_Sprouts_F1	-40.13021	-16.468725	-6.3604784	-20.884548	2.24544
B233_HKT723_C8_Golden_Acre_OP_cabbage	-39.69827	-7.913919	-2.4962583	-19.6198	9.047742
B234_HKT723_C9_Dwarf_Curled_OP_Kale	-40.077583	-12.788727	-4.571456	6.2632294	0.06341115
B235_HKT721_F5_Bedfordshire_Group_UNK	-41.70922	-12.573327	-2.2090752	-18.578001	3.7012482
B257_CB5UE6_F7_Early_Big_DH	16.248882	-7.4532995	27.849936	-6.742642	-3.279024
B257_CB5UW7_A2_Early_Big_DH	14.570704	-6.8690786	22.981243	-5.991493	-2.892865
B257_HKT723_D5_Early_Big_DH	16.111307	-7.169485	26.498816	-6.464441	-3.0269184
B258_CB5UE6_F8_Shining_Jean	13.983569	23.70355	-4.93065	-1.0764346	9.075569
B261_HKT723_C1_De_Cicco_OP	19.282393	-4.837294	12.030319	1.2242742	-8.176199
B330_HKT723_F3_AC498_Gower_GK20311b_DH	-41.989185	-14.144154	-5.6614857	-24.842506	0.37521073
H001_CB5UE6_B12_Darkibor_F1	-42.82895	-14.763425	-7.770717	8.578747	0.4748761
H004_CB5UE6_C2_NerodiToscano_OP	-28.807812	-2.6199613	2.4022498	3.7163677	-3.787821
H005_CB5UE6_C3_TopBunch_F1	-39.75947	-9.185693	-2.0107365	-11.634366	2.6552908
H006_CB5UE6_C4_Champion_OP	-39.494156	-7.05313	-1.196816	-16.386368	3.1914873
H008_CB5UE6_C6_Kolibri	-29.484188	-5.666713	2.3919861	1.3202887	-4.645749
H009_CB5UE6_C7_Diablo_F1	-44.996502	-18.821146	-7.3789287	-23.058186	5.4154315
H010_CB5UE6_C8_BlackMagic	-29.851473	-3.2043352	1.4233999	3.1005144	-5.1415906
H011_CB5UE6_C9_Kossak_F1	-28.566793	-0.45746532	4.9347405	-3.661257	-9.560389
H012_CB5UE6_C10_AzureStar	-29.783375	-3.3137836	5.1513968	0.21104428	-10.695546
H013_CB5UE6_C11_Redbor_F1	-41.916912	-17.117128	-9.451306	9.530807	-5.9688554
H014_CB5UE6_C12_BalticRed_OP	-41.19905	-18.062775	-8.748945	12.574427	-4.8450513
H015_CB5UE6_D1_CurlyRoja_OP	-41.732998	-18.524761	-8.782485	13.614595	-7.3039937
H016_CB5UE6_D2_Rubine_OP	-46.3433	-17.246744	-6.5837936	-25.439396	4.8011413
H017_CB5UE6_D3_Falstaf_OP	-45.249054	-16.30426	-5.9541936	-27.2105	4.8468413
H018_CB5UE6_D4_Redbull_OP	-44.65944	-15.198602	-5.3627534	-26.148167	2.7962804
H019_CB5UE6_D5_Futurima_F1	-38.13303	-7.696628	-3.06889	-24.290794	11.35698
H020_CB5UE6_D6_G30902_IBL	-38.045074	-8.722105	-3.8000274	-24.960016	13.286882
H021_CB5UE6_D7_RedExpress_OP	-39.632637	-8.719542	-3.3599129	-25.309526	10.412826
H024_CB5UE6_D10_16KG088_GoldenChinesekale	-25.310392	14.110838	-2.4742398	-8.079139	-3.201357
H045_CB5UE6_H1_Califlower_White_Amazing_OP	-2.6035318	44.067806	-7.368625	-2.3735452	9.097946
H046_CB5UE6_H2_Red_Bull_B_Sprouts	-43.68728	-15.388782	-5.7442303	-26.236414	4.8626246
H047_CB5UE6_H3_Port_Tronc_Beira	-26.158295	10.044864	5.0722184	-6.7847095	-3.805505
H048_CB5UE6_H4_Diablo_F1	-45.3282	-19.52334	-7.042541	-23.767902	5.4392614
H051_CB5UE6_H7_White_Quickstar_Kohlrabi	-30.833807	-3.479487	7.793712	1.1050363	-9.030893
H052_CB5UE6_H8_Redbore_F1	-45.01171	-20.308401	-11.684882	16.925005	-7.8988705
H053_CB5UE6_H9_Redbore_F1	-46.033886	-16.664629	-7.86378	8.946083	-0.42118865
H056_CB5UE6_H12_Roja_Curly_Kale	-45.135323	-20.00098	-9.565021	14.226793	-7.5330844
H079_HKT723_H5_Champion_S2	-39.274364	-8.623643	-1.6005877	-15.534187	1.1417341
H080_HKT723_H6_Beira_Johnnys	-25.10593	9.496838	4.833833	-6.499983	-3.2997422
H081_HKT723_H7_Simlaw_Collard_UNK	-35.90873	-3.2726543	-0.47241402	-6.3065834	0.9734229
H082_HKT723_H8_EASeed_Collard	-37.244804	-5.3765383	0.6589604	-7.118224	2.1634202
H083_HKT723_H9_Gromost_GeorgiaCollards	-41.00505	-6.887069	-1.1838853	-17.337358	4.1346984
H084_HKT723_H10_SafariSeeds_ThousandHead	-35.657192	-4.500171	-1.0214438	3.5298314	0.8044788
H085_HKT723_H11_Syova_Mfalme_OP	-30.457722	-5.255292	0.6171372	-5.8303084	3.9291866
H086_HKT723_H12_SeedCo_SouthernGeorgia	-38.711754	-4.393884	1.9782479	-2.5542233	-0.22829013
W001_CB5UE6_B5_W001_WT_A	-43.400543	-24.981003	-9.20028	49.55019	17.543251
W002_CB5UE6_B6_W002_WT	-27.666243	-0.780131	-4.457028	14.4301815	4.23904
W003_CB5UE6_B7_W003_WT	-27.718477	-0.2930417	-3.736607	15.055127	4.736292
W004_CB5UE6_B8_W004_WT	-44.41467	-24.26388	-9.814223	42.880363	15.035931
W005_CB5UE6_B9_W005_WT	-43.348114	-22.297796	-7.876037	47.427055	11.423113
W006_CB5UE6_B10_W006_WT	-44.3377	-26.070477	-9.655368	50.931973	16.961046
